N,protocol,layers,fidelity,entropy,entropy_max,confidence
15,linear_abs,1,0.6983582928500083,1.466511713734259,3,0.5111627620885804
15,linear_abs,2,0.8568201227996661,0.787511959467271,3,0.7374960135109097
15,linear_abs,3,0.9697969951436018,0.2635406198066024,3,0.9121531267311325
15,linear_abs,4,0.9734545811130982,0.22107312703928197,3,0.9263089576535727
15,linear_abs,5,0.9773057389795384,0.19523365822441013,3,0.9349221139251966
15,linear_abs,6,0.9949230935945272,0.05362323417066078,3,0.9821255886097797
15,linear_abs,7,0.9982386711906708,0.019798198127159317,3,0.9934006006242803
15,linear_abs,8,0.9999999999999993,1.07312665085091e-15,3,0.9999999999999997
15,linear_abs,9,0.9999999999999993,1.07312665085091e-15,3,0.9999999999999997
15,linear_abs,10,0.9999999999999993,1.07312665085091e-15,3,0.9999999999999997
